1p_4c_Truepf	4p_4c_Truepf	2p_2c_Truepf	1p_1c_Truepf	4p_1c_Truepf	4p_4c_Falsepf	1p_2c_Truepf	2p_1c_Truepf	1p_1c_Falsepf
29.752207013871157	29.811580814578903	29.75541606125415	29.753921092949966	29.770551040715375	29.69382134796991	29.73921729164222	29.726822305191725	29.71177581179873
29.771418746706367	29.81260161179936	29.75759264824375	29.754169644975388	29.773230714329237	29.697950231268322	29.741804736005236	29.729674628973275	29.71265017711503
29.772353846090184	29.82122068187158	29.75970908307209	29.771705660579137	29.77603691418602	29.713075240501908	29.74464559558342	29.731785510102267	29.729345731262647
29.779244323214094	29.83196059457916	29.76098496588662	29.781917383864794	29.77975165228025	29.717750544225655	29.77878144534044	29.734736754440604	29.744254990645857
29.781882023209267	29.839208126201623	29.765933472731096	29.791640957388882	29.784035527158807	29.72650565399724	29.78001960781263	29.759818947191764	29.74477700303479
29.78975050545675	29.839342697953924	29.769891774965792	29.799662599767153	29.79841681577185	29.7302661783473	29.78664919998668	29.766733248181122	29.754562906439794
29.79589383131156	29.845115644941732	29.77076589057115	29.803029357137582	29.812835833306178	29.734825699765985	29.789032900180622	29.791309514720663	29.7605675178514
29.799848921355572	29.846765064400834	29.771518921540373	29.804224441491087	29.81872794749906	29.741431589360875	29.797710834884	29.797961023403097	29.76100008168688
29.802518077600826	29.852903915968422	29.772918020107948	29.805110936356257	29.820413906143983	29.742885132493626	29.799934430329376	29.803268512548126	29.764431769380774
29.80531160660042	29.855248875354587	29.776370032026254	29.80696588050528	29.828479420960665	29.74491992482339	29.802832291638218	29.807654428318852	29.793322670011985
29.809908706009903	29.86055681008985	29.78303928816191	29.82092040462333	29.8335999033843	29.745970289574682	29.805066661908622	29.813430860637723	29.794508718093425
29.811384853036508	29.862168754348033	29.783660630232568	29.822273770233465	29.834504338998176	29.74778099470543	29.80600837463442	29.81914480668287	29.802373551470936
29.8116786711151	29.866898743983015	29.784954388641413	29.824425971056954	29.837872662564784	29.751309839104255	29.808336652756616	29.823040297872847	29.80360217718259
29.81350343214514	29.876742838312	29.802604388079317	29.826588259941317	29.841848331259083	29.75139829263677	29.81006245070869	29.82332383184166	29.80501107248655
29.81379035124634	29.879797142861598	29.805035457163896	29.83307171126358	29.842062711824212	29.768064470186083	29.81209304085079	29.826932088153058	29.814140398137997
29.814861646790103	29.88230958568368	29.805940691789527	29.83639373190142	29.851989215157865	29.77167515836507	29.81307831157787	29.828794480191174	29.823369463948026
29.81793242560353	29.888556877020207	29.806809499196376	29.8374667945119	29.853295097503587	29.773430231502275	29.82032942743533	29.835650346278353	29.83134289681786
29.821340458175918	29.890765114314192	29.811107054780592	29.845244867992207	29.855260697006493	29.781078729482925	29.822345993409815	29.83928168300919	29.832658779926422
29.832270169305765	29.891350609855657	29.811228585918926	29.861247268887915	29.858150899219883	29.783911721299205	29.822642145936914	29.841241167981558	29.833714310495004
29.839062351283488	29.8913695671428	29.816803399593958	29.86370253334307	29.85986163239344	29.805413723233197	29.823825448539868	29.84324564989629	29.836599128305348
