4g_2s_0.1m_0.01r_x174	4g_2s_0.1m_0.1r_x300	4g_2s_0m_0.01r_x300	3g_2s_0.1m_0.01r_x192	2g_2s_0.1m_0.01r_x235	4g_1s_0.1m_0.01r_x134	4g_2s_0.2m_0.01r_x300	4g_8s_0.1m_0.01r_x172	4g_4s_0.1m_0.01r_x176	5g_2s_0.1m_0.01r_x128	1g_2s_0.1m_0.01r_x299	4g_2s_0.1m_0.01r_x300	4g_8s_0.1m_0.01r_x172	4g_3s_0.1m_0.01r_x174
29.57113284640908	29.49714266327677	29.512039215462103	29.537434511943168	29.61420763194762	29.602406965650474	29.504767722032504	29.605364844659665	29.52810810899117	29.564555182203396	29.57765150426248	29.481927000316084	29.55265729271398	29.58304273245687
29.575854749835134	29.498828598383604	29.512299238037556	29.546503894293732	29.622561449073917	29.605388464777565	29.51127980965349	29.615104588220227	29.542111622371614	29.57113284640908	29.57846108844786	29.504882083838254	29.56933666356285	29.593766012719044
29.582228933256417	29.499144999693936	29.512299238037563	29.553511392252496	29.623950306425694	29.607518943603118	29.512299238037556	29.616676435295926	29.54428627029648	29.578461088447852	29.58681886107959	29.512299238037556	29.572136856459558	29.598085423092765
29.58280345711657	29.521287140959515	29.532174843319343	29.566259457275056	29.62538930142203	29.60893001219076	29.525345658445605	29.616812522518927	29.555353267977516	29.584771242405346	29.595277504709728	29.526222908648784	29.580818033427267	29.59836145398534
29.58643669314153	29.528426421464477	29.534018097343637	29.57144435525544	29.630627005911364	29.61188084738894	29.52810810899117	29.618662415000102	29.559192565605006	29.590068894715362	29.59872648994641	29.52810810899117	29.58325246138823	29.599756799159955
29.598952807542858	29.531545959648245	29.535462375772404	29.57590394780396	29.641387317012878	29.613093570496684	29.530542102760847	29.623088410377797	29.57846108844786	29.59828693708744	29.608586395315054	29.531545959648245	29.589966233589355	29.605916265213537
29.600451968965615	29.541422093201383	29.544845990826246	29.58280345711656	29.655931989308662	29.61479164488434	29.532174843319343	29.623637374303904	29.583540579637656	29.602868592521265	29.613093570496687	29.532174843319343	29.598952807542858	29.607331354050814
29.605422457520323	29.542932865744	29.552177338054374	29.587434480444678	29.659594285153972	29.624752997671727	29.53311651885423	29.623984846287744	29.586659206490726	29.603046399387466	29.614692094625894	29.545031352753647	29.60987349401251	29.60972880906173
29.605424742876764	29.551380841638043	29.552177338054374	29.588666272062866	29.66264152063517	29.63557017974491	29.534018097343637	29.626199168103053	29.587434480444678	29.605916265213537	29.622561449073917	29.55265729271398	29.613093570496684	29.610210427829642
29.605512803756792	29.551873521298283	29.55317150215374	29.59301435307695	29.663191199353733	29.641064340335486	29.542953557517833	29.6346578599777	29.593526373195107	29.606113888260925	29.623246879951793	29.555371953442933	29.614939052449365	29.613260622829078
29.605916265213537	29.55265729271398	29.558353749597032	29.594351372931506	29.668656812668786	29.64419768855727	29.545384265184875	29.65196512560719	29.59563319879566	29.606952667430328	29.623771251518022	29.55898758842549	29.622561449073917	29.614269562768417
29.616770187755492	29.55355756407328	29.558953966671737	29.59447377165524	29.66961934999673	29.646133730816818	29.550737650671422	29.652474185608316	29.598286937087437	29.6077872540562	29.63274586284038	29.559264797580088	29.623501390530002	29.617388563976796
29.617399050725467	29.555356512482895	29.559019658482836	29.59848043810081	29.669647364887776	29.651677571416965	29.558058670020326	29.6552052132103	29.602070734074005	29.610210427829642	29.63835697234373	29.577986765531517	29.624386215331626	29.61961535561927
29.617584520189133	29.558855568320805	29.564985100217474	29.598636674081234	29.669961188681818	29.65222734267971	29.55848557243891	29.659040389980895	29.604872171598767	29.61188084738894	29.640375402694275	29.57846108844786	29.63339373425443	29.623094336236658
29.618240789857126	29.56456037262318	29.57359318900861	29.602099065331366	29.670754894944565	29.653272305613488	29.559325893237837	29.663633650567377	29.61446986404553	29.612617210786077	29.641387317012885	29.578461088447852	29.637806098173645	29.627435314760632
29.622028500786122	29.56502792344766	29.5794592484594	29.605916265213537	29.670807437120473	29.658463123666962	29.559562448671084	29.66930668258026	29.614527062569344	29.62577749918866	29.645906672153373	29.582288448883954	29.643041007245625	29.6294739594803
29.623682502000417	29.570879625078803	29.579459248459404	29.61188084738894	29.67277372609376	29.666218132990966	29.562090461288822	29.68325337190822	29.615243591624004	29.632253125760535	29.651967553793416	29.582788081225708	29.647484330563493	29.632535236047637
29.623984846287744	29.576031879140995	29.580259031225197	29.613093570496684	29.678173501763197	29.670198536186042	29.571372055521017	29.686161279025676	29.615977777491402	29.633954211766337	29.655226904953004	29.58409887668244	29.65090427944432	29.636486195357097
29.62973941899616	29.577467387850596	29.580287362482558	29.61637455392559	29.686426111734768	29.673280773919085	29.57361731181071	29.68650280756811	29.616410647045765	29.635693911448126	29.656352301129633	29.58920845911713	29.65196512560719	29.640580823628333
29.634537722695992	29.578323456783416	29.5821923850719	29.616676435295926	29.6889945463151	29.674984476050813	29.57590394780396	29.69238833993466	29.63274586284038	29.6409001378976	29.670397174327977	29.59362477154604	29.652542829497627	29.640804778522597
29.640204790507678	29.579828881048748	29.582850847398895	29.617542284498903	29.698167464980127	29.675654847915187	29.581262556922027	29.696660785971762	29.639835294604552	29.642414696654228	29.68695220251416	29.59455477318768	29.653562925298953	29.651290199234605
