hemming_distance	count
29	61064
30	59172
19	85
22	424
15	13
26	5850
24	1346
17	21
27	14143
28	33685
23	720
25	2661
20	154
21	261
18	73
13	3
10	1
16	14
14	8
11	1
12	1
--------------------------------
cluster	count	score
144	1	30.465479671371035
145	1	30.46586844358186
146	1	30.46878128801601
147	1	30.47522440686742
148	1	30.47643509515822
149	1	30.48195933789887
150	1	30.484775612019902
151	1	30.501822055992317
152	1	30.50934173787071
153	1	30.51283752008424
154	1	30.514611995306506
155	1	30.515576373147827
156	1	30.51903232854875
157	1	30.523026335845064
158	1	30.52455654808938
159	1	30.527870054321934
160	1	30.52977111616563
161	1	30.530772836615256
162	1	30.534497799335284
163	1	30.53634725299652
164	1	30.54460845223227
165	1	30.551926960158912
166	1	30.55733978242468
167	1	30.559435559966474
168	1	30.562477063210494
169	1	30.569150218449604
170	1	30.57499522390102
171	1	30.58391806030876
172	1	30.58748341077654
173	1	30.589196906849384
174	1	30.593214377734434
175	1	30.59481178735846
176	1	30.596470214228187
177	1	30.60626239120387
178	1	30.60658333611984
179	1	30.612486989245458
180	1	30.615483755794802
181	1	30.62865964238988
182	1	30.62945899445386
183	1	30.637157644194904
184	1	30.65002776399271
185	1	30.652973219007976
186	1	30.69079109872326
187	1	30.692800993210973
188	1	30.694394186483176
189	1	30.701921065084694
190	1	30.70885263034889
191	1	30.70910823387472
192	1	30.712393606417546
193	1	30.716676305769454
194	1	30.716804497371143
195	1	30.717151957094167
196	1	30.718075931062963
197	1	30.720737372057016
198	1	30.726959944814148
199	1	30.730472520566057
200	1	30.733378426882094
201	1	30.73435026431019
202	1	30.7355865924674
203	1	30.740254467970395
204	1	30.746241694472445
205	1	30.749807683189687
206	1	30.759292468197206
207	1	30.762190364499805
208	1	30.765855508202865
209	1	30.77593484823191
210	1	30.777482055700172
211	1	30.778999688721317
212	1	30.79486188529441
213	1	30.795347422304225
214	1	30.79711438557327
215	1	30.818207848939977
216	1	30.82084010516277
217	1	30.828043139357824
218	1	30.847602522131037
219	1	30.848529071120755
220	1	30.860415593544587
221	1	30.873152068696758
222	1	30.8735980602031
223	1	30.88097074054183
224	1	30.883592039454438
225	1	30.884436733151762
226	1	30.888845275926286
227	1	30.89657832264204
228	1	30.898517508214276
229	1	30.93621286838694
230	1	30.968461478523036
231	1	30.971999220925202
232	1	30.980497516830237
233	1	30.98518006629691
234	1	30.99419422266814
235	1	30.996648420295273
236	1	31.00199929952779
237	1	31.023662800692033
238	1	31.029215936136374
239	1	31.041690052309768
240	1	31.055069248856174
241	1	31.07444794057214
242	1	31.086587495163613
243	1	31.098815913134533
244	1	31.108859642284248
245	1	31.11009808471529
246	1	31.110356287665642
247	1	31.11415894522443
248	1	31.116330857971377
249	1	31.116352818389007
250	1	31.11896301212903
251	1	31.12306397682859
252	1	31.12562644859783
253	1	31.127998082040023
254	1	31.131194012873607
255	1	31.13509086786215
256	1	31.139961246770643
257	1	31.143963629851743
258	1	31.15843138081807
259	1	31.170598249016255
260	1	31.17163305791647
261	1	31.172319612285396
262	1	31.17758168614802
263	1	31.200367387049532
264	1	31.2213848426423
265	1	31.22506883325374
266	1	31.243881691625283
267	1	31.24622894094221
268	1	31.262296356643343
269	1	31.26469570784377
270	1	31.27117794720078
271	1	31.27847584851337
272	1	31.280368603997914
273	1	31.283454405210712
274	1	31.28901787739854
275	1	31.296809848041512
276	1	31.299185751718085
277	1	31.307414715543473
278	1	31.351714824760805
279	1	31.35646834440462
280	1	31.35708210597071
281	1	31.37290227028426
282	1	31.426481734426158
283	1	31.432427734072448
284	1	31.488249472360934
285	1	31.50864247452257
286	1	31.517937060656898
287	1	31.531550267259814
288	1	31.53534820544747
289	1	31.543026428397873
290	1	31.552254401162543
291	1	31.553917886805127
292	1	31.570103498887942
293	1	31.624162343696916
294	1	31.635610057734535
295	1	31.651186257207165
296	1	31.835155890373183
297	1	32.408212415370166
298	1	32.5612470754998
299	1	32.715084061548254
300	1	39.248439164283155
