optimizer_name	batch_name	rank	score
steepesthill	batch_1_of_2_with_1	17	49.5328595218701
steepesthill	batch_1_of_2_with_1	0	30.72569014828832
steepesthill	batch_1_of_2_with_1	1	31.14433553010591
steepesthill	batch_1_of_2_with_1	2	32.946698893621594
steepesthill	batch_1_of_2_with_1	3	35.92111258759202
steepesthill	batch_1_of_2_with_1	4	45.19569125054718
steepesthill	batch_2_of_2_with_1	0	32.376020603319546
steepesthill	batch_2_of_2_with_1	1	32.55780592495524
steepesthill	batch_2_of_2_with_1	2	33.02384375646905
steepesthill	batch_2_of_2_with_1	3	34.2845383324517
steepesthill	batch_2_of_2_with_1	4	37.555701795848414
steepesthill	batch_2_of_2_with_1	5	50.30958098092236
steepesthill	batch_2_of_2_with_1	0	31.592013727499495
steepesthill	batch_2_of_2_with_1	1	31.64573328952605
steepesthill	batch_2_of_2_with_1	2	31.706211801581397
steepesthill	batch_2_of_2_with_1	3	31.7876886241354
steepesthill	batch_2_of_2_with_1	4	31.891949223697267
steepesthill	batch_2_of_2_with_1	5	31.962499784324272
steepesthill	batch_2_of_2_with_1	6	32.058881851409524
steepesthill	batch_2_of_2_with_1	7	32.18536548848554
steepesthill	batch_2_of_2_with_1	8	32.32595831749898
steepesthill	batch_2_of_2_with_1	9	32.56317589396867
steepesthill	batch_2_of_2_with_1	10	33.080325283900436
steepesthill	batch_2_of_2_with_1	11	34.12454489203597
steepesthill	batch_2_of_2_with_1	12	35.66721056571008
steepesthill	batch_2_of_2_with_1	13	36.97487365640571
steepesthill	batch_2_of_2_with_1	14	39.183453649182525
steepesthill	batch_2_of_2_with_1	15	42.27497478649149
steepesthill	batch_2_of_2_with_1	16	51.63438145917256
steepesthill	batch_1_of_2_with_1	0	30.718456290657574
steepesthill	batch_1_of_2_with_1	1	30.76750087644416
steepesthill	batch_1_of_2_with_1	2	30.83731360683354
steepesthill	batch_1_of_2_with_1	3	30.969538779628362
steepesthill	batch_1_of_2_with_1	4	31.093799499215425
steepesthill	batch_1_of_2_with_1	5	31.218865411124582
steepesthill	batch_1_of_2_with_1	6	31.349674310856347
steepesthill	batch_1_of_2_with_1	7	31.495454672745435
steepesthill	batch_1_of_2_with_1	8	31.673913141136204
steepesthill	batch_1_of_2_with_1	9	32.35487195626305
steepesthill	batch_1_of_2_with_1	10	32.74522506012722
steepesthill	batch_1_of_2_with_1	11	33.07365218091764
steepesthill	batch_1_of_2_with_1	12	33.50865577455883
steepesthill	batch_1_of_2_with_1	13	33.95447489306693
steepesthill	batch_1_of_2_with_1	14	35.29223641942464
steepesthill	batch_1_of_2_with_1	15	36.912182977389406
steepesthill	batch_1_of_2_with_1	16	40.434360943898696
steepesthill	batch_1_of_2_with_1	17	44.63061609110874
