greedyhill_gsa_True	annealing_gsa_False	greedyhill_gsa_False	annealing_gsa_True	steepesthill_gsa_False	steepesthill_gsa_True
29.62314772235994	29.878870471328952	29.696749546125766	29.820939060114483	30.106877775910114	29.836714193488802
29.625828479300118	29.886396720523944	29.70001258605457	29.826193440048794	30.122096618770453	29.836762560670934
29.626854258564368	29.88813038141734	29.702979652228255	29.836830194442427	30.12469074809236	29.846065761664743
29.63472576792772	29.906768203524056	29.703521260515057	29.838896024117073	30.125543914441593	29.846413470564336
29.63488396843537	29.91098669893433	29.710366553206683	29.84807569451402	30.129466305190693	29.867088122596087
29.636617511039685	29.917083359026687	29.71067125562839	29.84943885367687	30.133078985809533	29.871725380325696
29.637943186143165	29.917566990542213	29.71337079425092	29.855065990214218	30.140841852081582	29.87376458957103
29.639835294604552	29.919320034919803	29.713950651955432	29.858097500550976	30.145123380160538	29.881659931281273
29.641387317012878	29.92236951383561	29.729987166386568	29.867827146212164	30.149984685237396	29.884863919607042
29.645280790885504	29.93060160579403	29.73449106656075	29.868150056704625	30.150600485749827	29.88676514505657
29.64576720953669	29.93802968720811	29.736008805843092	29.87143764543136	30.1541637366972	29.892816403753503
29.66861022415529	29.94559340465004	29.73817115887135	29.87591604276931	30.158150717392292	29.90754393969663
29.66861022415529	29.94677156053467	29.74159871991415	29.880524614557967	30.158880326461592	29.908940679336784
29.67295741351196	29.951948927154334	29.74688558672653	29.892148417007757	30.163306730695762	29.914823889795763
29.673472481501317	29.956475229216206	29.747080723086185	29.89441151557628	30.167279890373326	29.924860475465614
29.675654847915187	29.977298968976314	29.750417859978512	29.89728943988505	30.17337671217889	29.93239475111644
29.68213167304986	29.981015754806535	29.756820904293686	29.897356550026178	30.178146356361907	29.93681414278484
29.686062135008275	29.985313290823967	29.757007836107714	29.897727565645578	30.184996533465505	29.94576932678748
29.689141325849352	29.985907067922557	29.75860981923865	29.904970260811837	30.191973805473523	29.946381865563403
29.689679654701767	29.99292608441158	29.76129035177217	29.910104498759576	30.192465462918012	29.95515324257173
29.689749684451073	29.99420644778014	29.762341420726113	29.92025595243779	30.20800926072725	29.96291385402551
29.689921785051325	30.00366722296318	29.768000082196423	29.923043282600975	30.211046983217535	29.9671029437511
29.690010363955384	30.00409476079209	29.76829727104947	29.93402559331012	30.22075570046457	29.97669108019725
29.69029297436041	30.009997042349287	29.768861826249044	29.936265039187717	30.221510823894725	29.977353926487872
29.692499401011336	30.01137299942532	29.770092417442903	29.940442663355185	30.229919465135097	29.977945759163692
29.696279922584434	30.02141841566131	29.77282799390705	29.95252291564686	30.230879308514215	29.97837071136403
29.69860025579629	30.02355259380599	29.773229334102112	29.952707482518687	30.232077675654615	29.983476745584106
29.7023632296209	30.030363451237672	29.778401536262887	29.953331689994982	30.232750928620245	29.994162819600344
29.705622636097797	30.03576225662791	29.783843406999004	29.959510783486664	30.239699632948216	29.996397401399232
29.70641074914447	30.037550207948225	29.78593304361538	29.960527111751187	30.24919538865234	30.00784693293224
29.70648397776571	30.03905896217411	29.787629458022895	29.96360848244756	30.251476510344546	30.013698994905823
29.706483977765707	30.03970926348033	29.789201164726297	29.97101531280588	30.262944333651465	30.01417854273788
29.707985108298235	30.045731102964616	29.789662941362078	29.9781344383915	30.266452319720408	30.014319682023082
29.709063517162903	30.046078740382114	29.793322670011985	29.9845856329082	30.270879099839973	30.01530421783829
29.709628567130135	30.046755658219844	29.794724373992132	29.98568302845672	30.271482740623618	30.025427889346865
29.71017895025075	30.04956299035091	29.80116090727609	29.98691175476351	30.272837111197298	30.036190218995756
29.7105782214217	30.061661420712742	29.802648913838958	29.98937620347998	30.273747798881274	30.044375562725
29.71160038289633	30.065560330807337	29.803212914368924	29.99170267838085	30.27465221048087	30.046805116061634
29.71478254908437	30.067575258813136	29.809341992861285	29.998033947817568	30.276195862808795	30.058700673543687
29.71478368501501	30.068231020979006	29.812060668258773	30.000847288004042	30.276685187103283	30.060269205738834
29.715234542758246	30.06844957217184	29.815777852445372	30.005666291549005	30.276928800210655	30.06399882151799
29.718273454047647	30.074748314912462	29.821689171565627	30.007574888452744	30.27821712941244	30.064454487568582
29.718984583570272	30.07761380250549	29.82226242049409	30.00773333870044	30.282460155206966	30.06487984894398
29.723058573406234	30.078427539641844	29.827836164086257	30.009940069616256	30.287468698052088	30.06891491482214
29.72526407595342	30.078624751350354	29.830061176603664	30.010217090366826	30.29236224607426	30.072791684931207
29.725738262175614	30.08223556371845	29.831055073709145	30.0183482073554	30.311675077007187	30.080866220612112
29.729668297712674	30.08405887190827	29.831200101043738	30.021177522239306	30.31349068042376	30.083485612422404
29.73266992512444	30.088703254354986	29.83640849075386	30.02335123674588	30.316984558319724	30.095914532664352
29.736552479647163	30.091233850372486	29.83783870598698	30.02513783364422	30.320230301260665	30.09814852553197
29.745403380958948	30.09732995628754	29.840899887705156	30.02692588582771	30.320783007487364	30.100453826945266
29.74925603373602	30.097876519795598	29.842118680960372	30.028520132678	30.32143617574118	30.103023871538188
29.750030817496146	30.09856427964881	29.845000006706158	30.03765051789207	30.32966026192399	30.108218046110697
29.753273211659643	30.103128064737	29.845659654075597	30.03896625320527	30.333425656979497	30.109909554035927
29.755193117283735	30.104043620474528	29.846261368025687	30.040530431374783	30.333912645113838	30.116652316942826
29.757233589970376	30.109227090557262	29.848196537620577	30.042656423701114	30.33711525326473	30.116971795191297
29.757339187679683	30.11093137716592	29.848256113372017	30.0429382290551	30.339613974044063	30.118755571546263
29.75835769301988	30.1138664976209	29.850786767909	30.048915379272376	30.34563186505171	30.124435863953252
29.758824758125655	30.12241723597165	29.853147306517677	30.049200975897197	30.346748709776737	30.125620302236356
29.759699237587007	30.13040702414999	29.85484422040068	30.05509198198105	30.35222656366655	30.12752237419626
29.759906839495628	30.130719425585173	29.85834656312094	30.060757671594665	30.35813363894176	30.12783373921334
29.769922886954628	30.13162495446977	29.859177503295975	30.062429117840704	30.362603705230114	30.12794058871798
29.77199655629617	30.13673274723669	29.86752138447757	30.064712543234954	30.36412137410568	30.129362858815142
29.77270979839323	30.14005443787002	29.87541106753471	30.068876348118263	30.365047460362973	30.132189857209173
29.774815138226124	30.143235739674022	29.878282007994407	30.074031760474593	30.370015490570694	30.13287507372727
29.777967113075444	30.14428615253669	29.88028726860951	30.074525393134138	30.375791901420556	30.13469952192107
29.77906502162616	30.144769870812414	29.881692382410773	30.07523763358685	30.37607024701258	30.13672150349472
29.780808528899534	30.148422239470726	29.883810335334136	30.07694160111175	30.378503705112315	30.138522545300525
29.78091957545557	30.149752909726992	29.884187163271804	30.07805411363854	30.385895456207205	30.14008846790326
29.7825025943157	30.15005049357746	29.885150086351715	30.07997030188332	30.389096516422327	30.140289096871502
29.784029441505925	30.152569687255742	29.88570402672953	30.080813938450337	30.39038021312124	30.145229754902417
29.784270545522126	30.156645639798068	29.88946025401491	30.091840783521956	30.39208118922916	30.15308323311195
29.785323399906822	30.156960827785113	29.889535545349382	30.099990911908108	30.39360124243008	30.15367231183504
29.785801462091523	30.16168133689857	29.892037336682826	30.10414037280932	30.39379235135364	30.154878951488342
29.78613489087982	30.16349955337626	29.892826331220903	30.104169602386772	30.399046230718195	30.158615189926962
29.78781659505841	30.167195695391126	29.897246013135234	30.10478323289949	30.403621206437816	30.164855138689276
29.789818026185934	30.171379044346132	29.899006303731838	30.10489674970266	30.414501417523038	30.165495304428138
29.790390578544084	30.17156178089709	29.899630358359293	30.105849286546245	30.42509707676027	30.165924755608355
29.79062161332051	30.175805570197753	29.89985403401546	30.108871078695554	30.427089295793685	30.17165494222157
29.790763078679305	30.178081405541008	29.900208485287514	30.109854533514927	30.43227567501322	30.17224908097099
29.79283181607197	30.182113713580257	29.90212775164353	30.110077313289196	30.43873787396915	30.181402113674952
29.79325980390825	30.190597388412403	29.90262008354739	30.113946593270672	30.439409445021234	30.182366269522085
29.79589479409318	30.192150755606104	29.906666224969577	30.116309223353312	30.439903028026816	30.183257856232817
29.7965230943243	30.194852880779923	29.90720584452292	30.11722721823325	30.4416191420701	30.183680925924932
29.798165045190142	30.1954025044421	29.90965113435183	30.12030133835132	30.447548050631358	30.184331220957397
29.79916567239326	30.196922851535668	29.910369731973187	30.12943528954234	30.456448663292207	30.185265145810824
