optimizer_name	batch_name	seed_id	step	score
greedyhill	batch_8_of_8_with_34	16	6	30.658668183259266
greedyhill	batch_8_of_8_with_34	16	7	30.658668183259266
greedyhill	batch_8_of_8_with_34	16	8	30.658668183259266
greedyhill	batch_8_of_8_with_34	16	9	30.658668183259266
greedyhill	batch_8_of_8_with_34	16	10	30.658668183259266
greedyhill	batch_8_of_8_with_34	16	11	30.658668183259266
greedyhill	batch_8_of_8_with_34	17	0	30.19302990691332
greedyhill	batch_8_of_8_with_34	17	1	30.19302990691332
greedyhill	batch_8_of_8_with_34	17	2	30.19302990691332
greedyhill	batch_8_of_8_with_34	17	3	30.19302990691332
greedyhill	batch_8_of_8_with_34	17	4	30.19302990691332
greedyhill	batch_8_of_8_with_34	17	5	30.19302990691332
greedyhill	batch_8_of_8_with_34	17	6	30.19302990691332
greedyhill	batch_8_of_8_with_34	17	7	30.19302990691332
greedyhill	batch_8_of_8_with_34	17	8	30.19302990691332
greedyhill	batch_8_of_8_with_34	17	9	30.19302990691332
greedyhill	batch_8_of_8_with_34	17	10	30.19302990691332
greedyhill	batch_8_of_8_with_34	18	0	30.617859405697892
greedyhill	batch_8_of_8_with_34	18	1	30.3332707599235
greedyhill	batch_8_of_8_with_34	18	2	30.1609654962015
greedyhill	batch_8_of_8_with_34	18	3	30.1609654962015
greedyhill	batch_8_of_8_with_34	18	4	30.1609654962015
greedyhill	batch_8_of_8_with_34	18	5	30.1609654962015
greedyhill	batch_8_of_8_with_34	18	6	30.1609654962015
greedyhill	batch_8_of_8_with_34	18	7	30.1609654962015
greedyhill	batch_8_of_8_with_34	18	8	30.1609654962015
greedyhill	batch_8_of_8_with_34	18	9	30.1609654962015
greedyhill	batch_8_of_8_with_34	18	10	30.1609654962015
greedyhill	batch_8_of_8_with_34	18	11	30.1609654962015
greedyhill	batch_8_of_8_with_34	18	12	30.1609654962015
greedyhill	batch_8_of_8_with_34	19	0	32.682139577704696
greedyhill	batch_8_of_8_with_34	19	1	32.682139577704696
greedyhill	batch_8_of_8_with_34	19	2	32.682139577704696
greedyhill	batch_8_of_8_with_34	19	3	32.682139577704696
greedyhill	batch_8_of_8_with_34	19	4	32.682139577704696
greedyhill	batch_8_of_8_with_34	19	5	32.682139577704696
greedyhill	batch_8_of_8_with_34	19	6	32.682139577704696
greedyhill	batch_8_of_8_with_34	19	7	32.682139577704696
greedyhill	batch_8_of_8_with_34	19	8	32.682139577704696
greedyhill	batch_8_of_8_with_34	19	9	32.682139577704696
greedyhill	batch_8_of_8_with_34	19	10	32.682139577704696
greedyhill	batch_8_of_8_with_34	20	0	30.387578185560617
greedyhill	batch_8_of_8_with_34	20	1	30.387578185560617
greedyhill	batch_8_of_8_with_34	20	2	30.387578185560617
greedyhill	batch_8_of_8_with_34	20	3	30.387578185560617
greedyhill	batch_8_of_8_with_34	20	4	30.387578185560617
greedyhill	batch_8_of_8_with_34	20	5	30.387578185560617
greedyhill	batch_8_of_8_with_34	20	6	30.387578185560617
greedyhill	batch_8_of_8_with_34	20	7	30.387578185560617
greedyhill	batch_8_of_8_with_34	20	8	30.387578185560617
greedyhill	batch_8_of_8_with_34	20	9	30.387578185560617
greedyhill	batch_8_of_8_with_34	20	10	30.387578185560617
greedyhill	batch_8_of_8_with_34	21	0	31.011681226812133
greedyhill	batch_8_of_8_with_34	21	1	30.985947647999645
greedyhill	batch_8_of_8_with_34	21	2	30.985947647999645
greedyhill	batch_8_of_8_with_34	21	3	30.985947647999645
greedyhill	batch_8_of_8_with_34	21	4	30.985947647999645
