annealing_308	greedyhill_253	steepesthill_465	genetic_132
29.80936173523985	29.73478248337402	30.081460901125208	29.551351166354067
29.810055424824107	29.73507105974719	30.081854474950013	29.552443414762152
29.81221105808203	29.73513752018882	30.082371863184317	29.55348988683511
29.8131442066591	29.73838929979786	30.082925206528472	29.553900883920956
29.814247979465215	29.73856959858255	30.085124069120255	29.555619299000877
29.814263419983547	29.73953607858726	30.08615545638983	29.559973680486614
29.815139903090362	29.739925134411717	30.08669428043155	29.56155257753394
29.816808431760432	29.74065781410087	30.08902791347316	29.56246782408849
29.81745274805948	29.74070843365513	30.08978415332584	29.566180305464624
29.818180443820626	29.741031487902905	30.09052428538314	29.566533893412483
29.820221723283066	29.741822477853237	30.092603518855807	29.56731746405204
29.820262125395693	29.743910258161716	30.09559647049158	29.56759013574998
29.822854353144002	29.74566335106504	30.095910236607068	29.569822214171236
29.823092433943224	29.745945287234004	30.096283839767615	29.570958526185226
29.82425206358085	29.745992847096318	30.09909274609695	29.57169218045859
29.825818899774774	29.74616547653035	30.102469236879568	29.573802589113388
29.82673101543508	29.746294454073563	30.10639244787186	29.57493854934164
29.829817077921454	29.746508280500358	30.107219550543167	29.577384181591693
29.82991176775972	29.746536212091996	30.110741380148205	29.578319381217348
29.830330507332494	29.746771402169816	30.11293550733076	29.578453717884123
29.833022728432486	29.746883198846902	30.114250667136485	29.578496401057
29.833049464618885	29.7472767418747	30.116036076274362	29.578912062315574
29.833407888749736	29.748629782232626	30.117896919316554	29.579269352622273
29.83422594824892	29.7488232267236	30.11791372558097	29.57932839194653
29.834257471612567	29.75068489377223	30.11859041504281	29.580243541105702
29.839770247846744	29.752340311152988	30.119154612074215	29.581645402314294
29.84235713573299	29.75238993686273	30.11969054470392	29.585534592369733
29.842676881005566	29.754074017375963	30.121396011246585	29.58576173264703
29.84303368780523	29.754537285753965	30.12324224451267	29.587191704746218
29.843968470057717	29.755068405014125	30.12355840397338	29.590838481785347
29.84428174251572	29.755349644427934	30.123968201067047	29.591769803331353
29.845308281177118	29.75584749786795	30.12440141311712	29.592040126803248
29.846824092024825	29.756013717354634	30.125506472432384	29.592177235694535
29.849155441194082	29.757310673173226	30.12611793326548	29.593311596114432
29.850377496499647	29.757763499965748	30.12708479927865	29.593546086382737
29.852020839466977	29.757790554737213	30.13039804789432	29.595666267383095
29.854897524296426	29.757924049456836	30.13188048865196	29.596029113031946
29.856187599193355	29.75812508561301	30.133292866013914	29.597762642841545
29.85731447624676	29.75847500723679	30.133916360458432	29.59828693708744
29.8648027551664	29.758536702547662	30.13533946796597	29.60051394027206
29.86635348548888	29.75980696314501	30.13580799675396	29.604670005602692
29.866863908478443	29.760154805668037	30.13635385833257	29.604782624505635
29.867896150358675	29.76104383904305	30.139556739398998	29.60494255409546
29.8704423543835	29.76128104183812	30.13975090867524	29.606817858854033
29.872144702137636	29.76140102232769	30.14115737319802	29.607149748890524
