2p_2c_Truepf	4p_4c_Truepf	4p_4c_Falsepf	1p_1c_Falsepf	4p_1c_Truepf	1p_4c_Truepf	1p_1c_Truepf	2p_1c_Truepf	1p_2c_Truepf
30.12635661833109	30.254884666738395	30.195706581077474	30.085014742511287	30.226894750434447	30.132662536942913	30.097411521324283	30.146758512152267	30.082730643050258
30.127421445535745	30.257358598785885	30.1971685474675	30.085279511596134	30.229518391018377	30.134239757243744	30.10203786825936	30.146844496390862	30.091726903974347
30.132611445288315	30.26317666164954	30.198829227710572	30.085410935425905	30.23069637639018	30.135682630665777	30.106559330473324	30.14913381677006	30.0917452034182
30.137768561203927	30.263480852501203	30.199470059002593	30.085472630707	30.24120838151694	30.136803846313313	30.10769045632154	30.149829863674597	30.092073135678664
30.14282769189973	30.26482175737118	30.201483313890712	30.08735313377605	30.241561099333474	30.13809522997863	30.109239507736397	30.15289815554638	30.093032173927046
30.14874549216904	30.275579391471794	30.20617766135121	30.0890569619529	30.241763785206246	30.142503709968416	30.115594720825946	30.153322823858954	30.09304488088752
30.152720688670684	30.285177297262074	30.206737480228377	30.092211391705728	30.244757447777864	30.14368394010643	30.11636966367885	30.15385890544838	30.093171418695476
30.15332457614453	30.28566899337311	30.21551763311248	30.09244465416816	30.247869921771475	30.146805391740315	30.11769515513582	30.154411886684496	30.094132022341483
30.156094825106035	30.291119796770843	30.218081046115994	30.093151975151002	30.248122132753426	30.15165374475338	30.1201877248856	30.15642659912893	30.09716958859256
30.16032700093745	30.29243139695684	30.22100761613798	30.09576511977	30.252925366008245	30.153888681735975	30.123363919292927	30.158816640497736	30.09955998279405
30.16304387939713	30.292858815530852	30.224911828182922	30.0964135395585	30.25765848621433	30.154029924096577	30.127564798446702	30.159242479015113	30.101241585912984
30.16702560740646	30.29556397600156	30.226842811628327	30.096444953208156	30.257906228162874	30.15633306885548	30.131616533440447	30.160253783239288	30.104952277571755
30.167208608021777	30.300039657069274	30.226996109410134	30.09716029318812	30.264969068944605	30.156458006424565	30.136652084271113	30.166485380196377	30.108853555059504
30.17170582608105	30.301275808958966	30.23149119254107	30.101523806493248	30.26613781026515	30.15839773595445	30.137245460314517	30.166607436779525	30.108928590274257
30.172939274398708	30.302223242281148	30.23293027462278	30.102181251026117	30.271864654262423	30.159113711450765	30.13814810964302	30.172405728345815	30.11179997307419
30.173085837840574	30.302703144790655	30.23563255267002	30.102833328236947	30.272323983767073	30.16066958762711	30.138619769619428	30.174128876761415	30.114367959625604
30.17645920563684	30.3042547992449	30.23627870329569	30.103159422185524	30.276997263948154	30.163378090369903	30.144165495075935	30.17590258890984	30.114704150646233
30.178277510075077	30.30477295822493	30.23657785685437	30.10329497734797	30.28127815509874	30.163393850572426	30.144847224670148	30.178957931592095	30.115923826139806
30.17919007971244	30.306173596747556	30.236865353516812	30.104690523664267	30.28129827457031	30.169276317010773	30.144863583490924	30.182121219749334	30.11944014272982
30.19180000938088	30.306919443331616	30.237438507723034	30.107825678353272	30.283109559586872	30.169629551879453	30.145487575805003	30.18305781322678	30.121604855688275
30.19199101968864	30.308625392103213	30.243014083032143	30.11517015610992	30.283297749401783	30.169920748478052	30.146543007271102	30.183843109610596	30.123825955754466
30.192743741846378	30.314694098144965	30.253509784028132	30.116289991208202	30.287660836300116	30.173246483638408	30.14757784466322	30.18550647019077	30.1253666433196
30.193867451205985	30.31776186205489	30.255030785965076	30.11733952320371	30.29286997102802	30.17368092901641	30.157449330418913	30.186641564717018	30.125561364953484
30.19395393111492	30.321822393877316	30.258273360826287	30.118568753587265	30.296260354548004	30.175278506153155	30.15840168284089	30.19996943223244	30.1273217428501
30.194547771518224	30.323626382330897	30.260321375118956	30.118783279986996	30.297215323856737	30.17614256679664	30.159588690332363	30.206020010800476	30.12800181469605
30.195105275104765	30.324423122382942	30.262852212401974	30.11971821728056	30.297585693171122	30.176293536913835	30.165349892869273	30.206118286966692	30.129082171774904
30.198658134054163	30.327390195632745	30.263413971074122	30.124690305754704	30.30302333156783	30.177802416321256	30.165547425396902	30.20673147960828	30.13481391086229
30.19899523459899	30.32935691582262	30.268085786196842	30.131680025222337	30.314858125731355	30.178326773059162	30.165639015957446	30.20764529701786	30.136090701438647
30.19920992654655	30.333420689761848	30.268630214976824	30.136388272595788	30.317032592354533	30.178456254033957	30.166042986558267	30.212161165201927	30.137215702676144
30.199717309340073	30.340030107399375	30.269049135287975	30.136628581669278	30.321290073098403	30.18043597536948	30.167344646804302	30.21374206653733	30.138014437639747
30.20046491828065	30.344410272638378	30.269741258100368	30.13862262957383	30.322140767136787	30.180463363258365	30.167784537059088	30.214061773398658	30.13930678314186
30.20212556409854	30.345454154403196	30.27007669613457	30.139301997936727	30.324831893295844	30.18119184718506	30.17134379682177	30.21539359022149	30.14135571462061
30.203592068267067	30.34808835213926	30.270485461952752	30.139323156255426	30.333375684021586	30.181447239839198	30.17143521948195	30.2169838331576	30.14250621489007
30.20529487312333	30.349120603936115	30.279407588620558	30.13947486458544	30.33608291100679	30.18751576455576	30.173475594118518	30.217973450672453	30.14285548903304
30.209546234263506	30.357412002644185	30.283661070540767	30.141197968278775	30.336657972795777	30.189986063248966	30.173984802671498	30.21864830332982	30.143185453855654
30.20984723340318	30.358543043309187	30.286713181942208	30.143466356775065	30.336705367005166	30.193119358280768	30.175668770695484	30.22232757106823	30.14433048806386
30.215187957264828	30.358581288721673	30.28715259360457	30.143532590585888	30.337349497135843	30.19427563856933	30.17683347433673	30.222965192289212	30.14457965878251
30.216265103025105	30.359694746696235	30.28808114453853	30.14978664060118	30.338922118089616	30.195857513747686	30.178544287919475	30.22957932816354	30.150625702218743
30.218307744216162	30.363626994164406	30.28850920889036	30.149791649490098	30.339043573056642	30.197096616239826	30.181445376050394	30.230652612064787	30.1513172560601
30.22447325251403	30.364476196282713	30.288915033679842	30.151922784974985	30.340229391129128	30.198583957362935	30.183364539951647	30.231320526657186	30.152242699214675
30.22566527390043	30.369451581888274	30.291094815063577	30.15194605243892	30.3412054937651	30.19896044704422	30.185399657575275	30.240897344492247	30.157301888920607
30.225790428927738	30.36967153533036	30.299555688410358	30.152354591645985	30.341512968004995	30.200062729273377	30.190148544810068	30.242878123048712	30.15733810399144
30.227648747559215	30.370482619513353	30.299817997807946	30.15478621331502	30.350539358061642	30.201595483958897	30.19155320218512	30.244503953163164	30.15991115770037
30.228839852779185	30.373146249748284	30.299982445727057	30.155222583017313	30.3509929289628	30.203646840364563	30.200000762093094	30.245165595686927	30.16763906289092
30.229094972787895	30.375393882337814	30.30294576524262	30.157235425407748	30.351667103079443	30.2039070146349	30.202493540537883	30.24804871999034	30.16790865818549
30.234569177879667	30.376239787998497	30.305947634012075	30.160792153426662	30.353448423620357	30.204755653515523	30.203257803338293	30.25150017434784	30.168097081702644
30.234720059081976	30.377287486727337	30.3078390433172	30.16117969742083	30.35490217204393	30.209269241784256	30.204016741167983	30.256400682563598	30.169763048136463
30.2373208385484	30.377785791672654	30.3098151168525	30.1622105418717	30.36997337181638	30.21007833300264	30.204712580117118	30.258131750386585	30.17105731768548
30.240611149169652	30.382422095627305	30.309860413485172	30.164867171936415	30.37057729803276	30.21073575510132	30.20479142629212	30.263738429926754	30.17240617414652
