4g_3s_x174	4g_8s_x172	4g_4s_x176	4g_2s_x350	4g_2s_x700	3g_2s_x192	2g_2s_x235	4g_1s_x134	5g_2s_x128	1g_2s_x299	4g_2s_x174	4g_8s_x172
29.381229627885407	29.424555880230802	29.455321060972555	29.335984990231935	29.366871057299843	29.44074297298601	29.445548626146543	29.49475458529753	29.38494102907534	29.538634738007314	29.41160494306758	29.43644139794015
29.38185424481497	29.425040783027136	29.458619883118285	29.335984990231932	29.367006583748157	29.440943813935487	29.44586489538983	29.494888938422548	29.385129754836417	29.54491837434462	29.41243373505409	29.43908750341239
29.383869943204452	29.42541574900647	29.462217350521406	29.337251806480904	29.367373141508544	29.441460119413016	29.44755116748133	29.497135084915634	29.388002377121964	29.54921375075503	29.41540671322396	29.44335990484538
29.388114558382462	29.42759041433769	29.467279630909676	29.337291353117635	29.36813378740692	29.443359074710443	29.450440797213464	29.500472368021573	29.38833705172507	29.554163395749786	29.421047340869347	29.445282109026717
29.388199893076045	29.42857893146883	29.470586568887494	29.337344386494557	29.36864537758818	29.444099965367297	29.451923083745783	29.502003472078865	29.390998207593935	29.55989829525494	29.423694166421612	29.445439639143196
29.388974760028244	29.4287684898467	29.471546695322367	29.337344386494564	29.369260261596857	29.44501536470693	29.456502023489897	29.502866367614804	29.391757117224522	29.56237113695775	29.425377713573486	29.445621800375775
29.39039476326486	29.43158800551744	29.4735962806139	29.338196007228266	29.36943039635247	29.445324843065958	29.45886275298756	29.504713143837414	29.394964414113176	29.564682243790248	29.425676399091948	29.4511725377326
29.391941131859166	29.433915974260746	29.474003695707392	29.338337641065376	29.36986720667542	29.44576347517612	29.461168077394635	29.50558571685156	29.398543515751054	29.56483160263714	29.426211218020292	29.453944865889184
29.392075726643995	29.434735853294157	29.474275431077658	29.338954916858857	29.370369290884124	29.44741068154924	29.461931369249577	29.506430282500695	29.399539680740194	29.568574360253024	29.426765225704617	29.454823158299476
29.394120521656728	29.4370891207128	29.475186441272854	29.340787823223984	29.370571880780435	29.448167595303026	29.46323417558506	29.509085444887717	29.40041061039705	29.56860874122748	29.42884532821318	29.457422715825942
29.394262721580404	29.437856649789666	29.478665660878043	29.34118591543531	29.370658321038345	29.452350096413365	29.463710845667002	29.51289115334272	29.400765342793584	29.572006201802548	29.428974223262813	29.460226862659603
29.395256698731977	29.43823059949024	29.48311112801531	29.342080744215863	29.371576584607727	29.455123569206066	29.46450355536885	29.516508743379	29.40267401854464	29.573137215370828	29.429397795538684	29.460729185040613
29.39671262493019	29.438476419627797	29.485072002319964	29.342080744215867	29.372426545728054	29.455169528506246	29.467142191847227	29.517357596050676	29.411254538903616	29.576182986966913	29.430062253983312	29.463902601298038
29.398407351726586	29.438645177537705	29.501413079820942	29.343440140478496	29.37269662148697	29.45629630565897	29.470211361264333	29.517909626061577	29.413201116487475	29.578129021939976	29.430091814499153	29.466898750673618
29.399973021042705	29.43884723663298	29.507370243632728	29.344163068135305	29.3727744043254	29.45686044931041	29.47253338680704	29.521781054149287	29.416128371143635	29.5813678732725	29.43277599341919	29.467682260034287
29.40041970617694	29.439438661872938	29.508597831049872	29.344214446790307	29.373089661490738	29.457485039294152	29.472951509600723	29.521883091568228	29.420094325614972	29.58485392639338	29.43453328198406	29.467877009283757
29.40211355550962	29.44008527008838	29.50874368452125	29.345667749635947	29.373259937604942	29.460710858527115	29.475882752159848	29.524985999386647	29.4204671638141	29.59007781304205	29.43459826974361	29.468229195754958
29.40360561465755	29.44039800562102	29.511613128933437	29.351871571060315	29.37356803015602	29.46165081468443	29.4784490752437	29.52708543654995	29.42100697158641	29.590627525259027	29.436091494500324	29.472630575708717
29.406148454565958	29.4410215999294	29.515555248775016	29.351964151073975	29.37358748057553	29.46211325226518	29.478537357589868	29.528483707083122	29.423290477841803	29.59213249894881	29.436289445405173	29.473823969809818
29.410665325940172	29.442468040773633	29.515741416009515	29.35486232368873	29.373587480575534	29.462280295178847	29.482605338732778	29.535430334551783	29.423359764029435	29.597177300174828	29.438258143727897	29.474067110099135
29.412620450702654	29.443433774766024	29.516740445984176	29.354954903702396	29.373654470413925	29.462392059642905	29.48549197928672	29.537348993946164	29.423563944208425	29.597257255299425	29.440879152568243	29.475426506361764
